Designator,Mid X,Mid Y,Rotation,Layer
C1,43.685876,-50.100089,90.0,top
C2,49.3,-43.85,0.0,top
C3,51.7,-44.0,0.0,top
C4,51.65,-46.85,270.0,top
C5,51.6,-52.8,180.0,top
C6,52.05,-54.2,0.0,top
C7,50.75,-56.2,180.0,top
R1,52.65,-45.25,0.0,top
R2,55.95,-45.0,90.0,top
R3,54.985876,-45.05,270.0,top
R4,54.485876,-43.600089,0.0,top
R5,46.35,-55.0,315.0,top
R6,44.95,-53.6,135.0,top
R8,48.25,-55.45,225.0,top
TP6,53.135876,-55.900089,270.0,bottom
TP7,54.9,-55.75,270.0,bottom
TP8,56.335876,-54.700089,270.0,bottom
U1,46.535876,-46.500089,315.0,top
U2,55.45,-50.0,0.0,top
U3,47.25,-52.75,315.0,top
